id,title,description,date_created,slug,cover
bf28c878-2542-4e4f-b70c-ded469df9ecb,"""Buzzing"" - 100x100cm, acrylic on canvas","The work depicts the state in which the author finds himself, it is a surreal emptiness, which recently is very present in the author's life. The painting is also meant to convey the uncomfortable feeling of ""squeaking"" in the ears, such a state is a consequence of events in the author's life. The painting is a veritable outpouring of emotions and states that are troublesome to the author.

",2021-09-27T15:14:55.696Z,buzzing,0a8242e0-c2f5-4319-bd6b-091ad765c67c
b3f1daa9-0dfe-4970-b67f-6fef14052920,"""Unreal"" - 92x92cm, acrylic on canvas","The work presents the author in a state, which he often experiences and a state that troubles him, doesn't give him peace, a state in which the author experiences unreal, lost contact with the world and the environment.",2021-07-16T17:18:54.433Z,odrealnienie,e9679153-0527-4f4c-830f-cd96991e3c8c
8a4922f2-cf22-42e4-88f3-21678f07ab01,"""Expectation""- 100 × 70 cm, oil and acrylic on canvas, 2021.","Expectation is another work from the series dealing with emotions, it is a separate work as far as the expression of thoughts is concerned, but it also fits into the idea of presenting emotions. Here, however, there is a development of the expression of the situation, as the whole scene is happening. The figure watches in stillness the coming future, which cannot be predicted, is presented as an abstraction, and thoughts connected with the uncertain future ""pour"" surrealistically into the room (bottom right corner), making it difficult to concentrate and disturbing the figure in the painting. It is actually a representation of the author's fears about the future.

[WORK AVAIABLE HERE](https://www.galeriaxanadu.pl/offer/oczekiwanie-4/)",2021-07-03T17:31:23.364Z,oczekiwanie,84f6862a-8029-450f-95e2-5cb81246f6e3
9d4e09c4-84a5-458e-b0e5-fedaa9f3c821,"""Separation""- 60x80cm, acrylic on canvas (Sold)","The work tells about the phenomenon of separation is one of the paintings in the renewed series on emotions. The phenomenon is presented as before on the basis of geometric forms. The theme concerns the separation of people, the wall separates two figures, what is interesting the author also refers here to the series ""Plasticity of Form"" which treats of changes. The figure on the right side of the painting symbolizes a person who does not change, it is depicted like the typical figures from the ""Plasticity of Form"" series, however, it is painted in a non-spatial way, as if made of cardboard, the figure does not want to change, which may result in the mentioned separation.",2021-07-03T17:34:11.933Z,separacja,6329a5a3-579c-4573-8c97-0a5d5b720c80
04c07128-2261-45ec-b313-96b764e9c077,"""Glass""  120/100cm acrylic on canvas 2022",,2023-04-08T23:21:27.352Z,sklo,8ffd413b-a0b3-476e-b765-32d26fab0565
636b8cbc-d49f-40ab-b3b4-05a646b62250,"""I as a person, a being, for that moment""/Oils and acrylics on wood, 40x55cm, 2021. (Sold)","The work depicts the author who wants to represent his state for the moment in which the painting was painted. It is an attempt to capture a set of emotions, states, what
at a given moment makes you happy and tired. By means of symbols, the author ""explains"" how I feel at a given moment. The wooden sub-image is a recycled element,
the frame and the board was given away to be thrown away.

",2021-03-21T01:24:37.657Z,ja-czlowiek,26708bb0-dfb3-4754-81a8-7ba4ac2d92e3
19f7a0a9-956b-4248-8368-f82f37ccc2d8,"""Judgment' - 'Mixed Technology, 2020'.  100x70cm (Sold)","""Judgment' - 'Mixed Technology, 2020'. 
100x70cm (Sold)

""All those emotions""

The first of the painting series. It was created between the end of 2019 and 2020. 
The series is a personal interpretation, personal realization of emotions, which are difficult for the author.
It is an attempt to materialize unwanted emotions. The texture of the paintings, the texture, is often deformed,
rough, which emphasizes in a symbolic way how strongly, the author's feelings are reflected.
The series will last together with the artist, uncomfortable emotions will appear for the rest of his life.",2021-02-14T18:42:12.127Z,wyrok,42fdb424-33e1-4b84-88aa-30379bf0637a
8af288b3-0aa9-4557-b6b4-d3740aa2186c," ""Self-Portrait"" - Acrylics on Canvas, 2020.  40x40cm (Sold)","""Deed and Punishment""

The title act and punishment is the author's struggle with a personal situation that happened in his life. The author tries to deal with the feeling of guilt and the consequences of the act. The painter focuses on the struggle and understanding of the phenomenon of remorse, fighting with oneself, justifying oneself. 
In the series there are visual forms, which are the materialized sense of guilt. The painting that concludes the series is the ""Spirit"", which is the essence and painted interpretation of the Deed and Consequence.
The image opening the series is the ""Self-Portrait"", which is an attempt to capture the mimicry and mimic emotions while realizing the power of Deed and the power of Consequence. Yellow forms are the aforementioned ghosts.",2021-02-14T18:32:13.260Z,autoportret,a39e508d-749d-4a5c-8cfb-9118c4c5f5b2
a56a5696-1ec2-42d0-84fb-e4734f56c4b1," ""Decomposition"" - Oil and Acrylic on own canvas, 2020.  50x60 cm (Sold)","""Decomposition"" - Oil and Acrylic on own canvas, 2020. 
50x60 cm 

A work in which the author focused on the phenomenon of decay, destruction,
which, according to the author, also accompanies the formation. Decay is the end, the ultimate essence of the end.
The blackness in the middle is a manifestation of the incoming emptiness,
which devours the image like rotting, decaying. 

[WORK AVAILABLE HERE](https://www.gallerystore.pl/malarstwo-olejne/jakub-kepka/rozklad-2)",2021-02-14T18:29:10.860Z,rozklad,ef63e9a8-aef3-48d4-92a3-19f83cb0e445
7c58740e-5b8f-4d88-bfae-23223ec60d38," ""Humiliation"" - Mixed Technique, 2020. 35x50cm","""All those emotions""

The first of the painting series. It was created between the end of 2019 and 2020. 
The series is a personal interpretation, personal realization of emotions, which are difficult for the author.
It is an attempt to materialize unwanted emotions. The texture of the paintings, the texture, is often deformed,
rough, which emphasizes in a symbolic way how strongly, the author's feelings are reflected.
The series will last together with the artist, uncomfortable emotions will appear for the rest of his life.",2021-02-14T18:16:34.003Z,upokorzenie,a1760acc-8267-40b8-bdcd-1f0d4949cb33
76a8e351-5a0e-42f3-8eca-719ec87be078,"My interpretation of Anna Bilinska-Bohdanowiczowa ""On the seashore"" Oil on board 50x43 cm 2020. (Sold)","Oil on the board 50x43 cm  My personal interpretation of the painting ""At the seaside"" The painting from the series Plasticity of Form.",2021-02-12T16:21:48.284Z,nad-brzegiem-morza,e8bd9cd5-8f54-413e-bbbe-26452581f276
